county,precinct,office,district,party,candidate,votes,election_day,absentee,absentee2
Greene,0044 45-B,Secretary of State,,DEM,YINKA FALETI,263,263,0,0
Greene,0044 45-B,Secretary of State,,LIB,CARL HERMAN FREESE,12,12,0,0
Greene,0044 45-B,Secretary of State,,GRN,PAUL LEHMANN,10,10,0,0
Greene,0044 45-B,Secretary of State,,CST,PAUL VENABLE,1,1,0,0
Greene,0044 45-B,State Treasurer,,REP,SCOTT FITZPATRICK,268,268,0,0
Greene,0044 45-B,State Treasurer,,DEM,VICKI LORENZ ENGLUND,253,253,0,0
Greene,0044 45-B,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,16,16,0,0
Greene,0044 45-B,State Treasurer,,GRN,JOSEPH CIVETTINI,4,4,0,0
Greene,0044 45-B,Attorney General,,REP,ERIC SCHMITT,265,265,0,0
Greene,0044 45-B,Attorney General,,DEM,RICH FINNERAN,253,253,0,0
Greene,0044 45-B,Attorney General,,LIB,KEVIN C BABCOCK,22,22,0,0
Greene,0044 45-B,U.S. House,7,REP,BILLY LONG,247,247,0,0
Greene,0044 45-B,U.S. House,7,DEM,TERESA MONTSENY,266,266,0,0
Greene,0044 45-B,U.S. House,7,LIB,KEVIN CRAIG,20,20,0,0
Greene,0044 45-B,State House,135,REP,STEVE HELMS,257,257,0,0
Greene,0044 45-B,State House,135,DEM,BETSY FOGLE,276,276,0,0
Greene,0044 45-B,State House,135,GRN,VICKE KEPLING,17,17,0,0
Greene,0044 45-B,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,244,244,0,0
Greene,0044 45-B,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,286,286,0,0
Greene,0044 45-B,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,14,14,0,0
Greene,0044 45-B,SHERIFF GREENE,,REP,JIM C ARNOTT,408,408,0,0
Greene,0044 45-B,ASSESSOR GREENE,,REP,BRENT JOHNSON,416,416,0,0
Greene,0044 45-B,TREASURER GREENE,,REP,JUSTIN HILL,407,407,0,0
Greene,0044 45-B,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,405,405,0,0
Greene,0044 45-B,Constitutional Amendment No. 1,,,Yes,261,261,0,0
Greene,0044 45-B,Constitutional Amendment No. 1,,,No.,265,265,0,0
Greene,0044 45-B,Constitutional Amendment No. 3,,,Yes,232,232,0,0
Greene,0044 45-B,Constitutional Amendment No. 3,,,No.,306,306,0,0
Greene,0044 45-B,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,371,371,0,0
Greene,0044 45-B,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,111,111,0,0
Greene,0044 45-B,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,361,361,0,0
Greene,0044 45-B,"Court of Appeals Judge, Southern District - Gary W.",,,No.,110,110,0,0
Greene,0044 45-B,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,349,349,0,0
Greene,0044 45-B,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,127,127,0,0
Greene,0044 45-B,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,371,371,0,0
Greene,0044 45-B,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,102,102,0,0
Greene,0044 45-B,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,368,368,0,0
Greene,0044 45-B,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,113,113,0,0
Greene,0044 45-B,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,357,357,0,0
Greene,0045 Battlefield A,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,1795,1795,0,0
Greene,0045 Battlefield A,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,692,692,0,0
Greene,0045 Battlefield A,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,49,49,0,0
Greene,0045 Battlefield A,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,8,8,0,0
Greene,0045 Battlefield A,President,,CST,DON BLANKENSHIP WILLIAM MOHR,1,1,0,0
Greene,0045 Battlefield A,Governor,,REP,MIKE PARSON,1776,1776,0,0
Greene,0045 Battlefield A,Governor,,DEM,NICOLE GALLOWAY,693,693,0,0
Greene,0045 Battlefield A,Governor,,LIB,RIK COMBS,53,53,0,0
Greene,0045 Battlefield A,Governor,,GRN,JEROME HOWARD BAUER,12,12,0,0
Greene,0045 Battlefield A,Lieutenant Governor,,REP,MIKE KEHOE,1804,1804,0,0
Greene,0045 Battlefield A,Lieutenant Governor,,DEM,ALISSIA CANADY,620,620,0,0
Greene,0045 Battlefield A,Lieutenant Governor,,LIB,BILL SLANTZ,53,53,0,0
Greene,0045 Battlefield A,Lieutenant Governor,,GRN,KELLEY DRAGOO,23,23,0,0
Greene,0045 Battlefield A,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,1827,1827,0,0
Greene,0045 Battlefield A,Secretary of State,,DEM,YINKA FALETI,591,591,0,0
Greene,0045 Battlefield A,Secretary of State,,LIB,CARL HERMAN FREESE,52,52,0,0
Greene,0045 Battlefield A,Secretary of State,,GRN,PAUL LEHMANN,19,19,0,0
Greene,0045 Battlefield A,Secretary of State,,CST,PAUL VENABLE,13,13,0,0
Greene,0045 Battlefield A,State Treasurer,,REP,SCOTT FITZPATRICK,1828,1828,0,0
Greene,0045 Battlefield A,State Treasurer,,DEM,VICKI LORENZ ENGLUND,586,586,0,0
Greene,0045 Battlefield A,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,65,65,0,0
Greene,0045 Battlefield A,State Treasurer,,GRN,JOSEPH CIVETTINI,14,14,0,0
Greene,0045 Battlefield A,Attorney General,,REP,ERIC SCHMITT,1813,1813,0,0
Greene,0045 Battlefield A,Attorney General,,DEM,RICH FINNERAN,598,598,0,0
Greene,0045 Battlefield A,Attorney General,,LIB,KEVIN C BABCOCK,76,76,0,0
Greene,0045 Battlefield A,U.S. House,7,REP,BILLY LONG,1681,1681,0,0
Greene,0045 Battlefield A,U.S. House,7,DEM,TERESA MONTSENY,670,670,0,0
Greene,0045 Battlefield A,U.S. House,7,LIB,KEVIN CRAIG,124,124,0,0
Greene,0045 Battlefield A,State House,133,REP,CURTIS D. TRENT,1820,1820,0,0
Greene,0045 Battlefield A,State House,133,DEM,CINDY SLIMP,661,661,0,0
Greene,0045 Battlefield A,COMMISSIONER - DISTRICT 1 DST 1,,REP,RUSTY MACLACHLAN,1864,1864,0,0
Greene,0045 Battlefield A,COMMISSIONER - DISTRICT 1 DST 1,,DEM,WES ZONGKER,610,610,0,0
Greene,0045 Battlefield A,SHERIFF GREENE,,REP,JIM C ARNOTT,2196,2196,0,0
Greene,0045 Battlefield A,ASSESSOR GREENE,,REP,BRENT JOHNSON,2224,2224,0,0
Greene,0045 Battlefield A,TREASURER GREENE,,REP,JUSTIN HILL,2220,2220,0,0
Greene,0045 Battlefield A,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,2197,2197,0,0
Greene,0045 Battlefield A,Constitutional Amendment No. 1,,,Yes,1276,1276,0,0
Greene,0045 Battlefield A,Constitutional Amendment No. 1,,,No.,1183,1183,0,0
Greene,0045 Battlefield A,Constitutional Amendment No. 3,,,Yes,1355,1355,0,0
Greene,0045 Battlefield A,Constitutional Amendment No. 3,,,No.,1129,1129,0,0
Greene,0045 Battlefield A,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,1830,1830,0,0
Greene,0045 Battlefield A,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,460,460,0,0
Greene,0045 Battlefield A,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,1837,1837,0,0
Greene,0045 Battlefield A,"Court of Appeals Judge, Southern District - Gary W.",,,No.,436,436,0,0
Greene,0045 Battlefield A,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,1755,1755,0,0
Greene,0045 Battlefield A,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,519,519,0,0
Greene,0045 Battlefield A,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,1815,1815,0,0
Greene,0045 Battlefield A,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,448,448,0,0
Greene,0045 Battlefield A,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,1777,1777,0,0
Greene,0045 Battlefield A,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,504,504,0,0
Greene,0045 Battlefield A,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,1777,1777,0,0
Greene,0046 Battlefield B,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,1341,1341,0,0
Greene,0046 Battlefield B,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,565,565,0,0
Greene,0046 Battlefield B,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,33,33,0,0
Greene,0046 Battlefield B,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,8,8,0,0
Greene,0046 Battlefield B,President,,CST,DON BLANKENSHIP WILLIAM MOHR,2,2,0,0
Greene,0046 Battlefield B,Governor,,REP,MIKE PARSON,1371,1371,0,0
Greene,0046 Battlefield B,Governor,,DEM,NICOLE GALLOWAY,543,543,0,0
Greene,0046 Battlefield B,Governor,,LIB,RIK COMBS,31,31,0,0
Greene,0046 Battlefield B,Governor,,GRN,JEROME HOWARD BAUER,6,6,0,0
Greene,0046 Battlefield B,Lieutenant Governor,,REP,MIKE KEHOE,1385,1385,0,0
Greene,0046 Battlefield B,Lieutenant Governor,,DEM,ALISSIA CANADY,497,497,0,0
Greene,0046 Battlefield B,Lieutenant Governor,,LIB,BILL SLANTZ,36,36,0,0
Greene,0046 Battlefield B,Lieutenant Governor,,GRN,KELLEY DRAGOO,12,12,0,0
Greene,0046 Battlefield B,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,1399,1399,0,0
Greene,0046 Battlefield B,Secretary of State,,DEM,YINKA FALETI,475,475,0,0
Greene,0046 Battlefield B,Secretary of State,,LIB,CARL HERMAN FREESE,41,41,0,0
Greene,0046 Battlefield B,Secretary of State,,GRN,PAUL LEHMANN,12,12,0,0
Greene,0046 Battlefield B,Secretary of State,,CST,PAUL VENABLE,5,5,0,0
Greene,0046 Battlefield B,State Treasurer,,REP,SCOTT FITZPATRICK,1426,1426,0,0
Greene,0046 Battlefield B,State Treasurer,,DEM,VICKI LORENZ ENGLUND,454,454,0,0
Greene,0046 Battlefield B,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,41,41,0,0
Greene,0046 Battlefield B,State Treasurer,,GRN,JOSEPH CIVETTINI,6,6,0,0
Greene,0046 Battlefield B,Attorney General,,REP,ERIC SCHMITT,1402,1402,0,0
Greene,0046 Battlefield B,Attorney General,,DEM,RICH FINNERAN,468,468,0,0
Greene,0046 Battlefield B,Attorney General,,LIB,KEVIN C BABCOCK,49,49,0,0
Greene,0046 Battlefield B,U.S. House,7,REP,BILLY LONG,1312,1312,0,0
Greene,0046 Battlefield B,U.S. House,7,DEM,TERESA MONTSENY,528,528,0,0
Greene,0046 Battlefield B,U.S. House,7,LIB,KEVIN CRAIG,86,86,0,0
Greene,0046 Battlefield B,State House,133,REP,CURTIS D. TRENT,1397,1397,0,0
Greene,0046 Battlefield B,State House,133,DEM,CINDY SLIMP,520,520,0,0
Greene,0046 Battlefield B,COMMISSIONER - DISTRICT 1 DST 1,,REP,RUSTY MACLACHLAN,1432,1432,0,0
Greene,0046 Battlefield B,COMMISSIONER - DISTRICT 1 DST 1,,DEM,WES ZONGKER,475,475,0,0
Greene,0046 Battlefield B,SHERIFF GREENE,,REP,JIM C ARNOTT,1733,1733,0,0
Greene,0046 Battlefield B,ASSESSOR GREENE,,REP,BRENT JOHNSON,1734,1734,0,0
Greene,0046 Battlefield B,TREASURER GREENE,,REP,JUSTIN HILL,1724,1724,0,0
Greene,0046 Battlefield B,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,1704,1704,0,0
Greene,0046 Battlefield B,Constitutional Amendment No. 1,,,Yes,995,995,0,0
Greene,0046 Battlefield B,Constitutional Amendment No. 1,,,No.,887,887,0,0
Greene,0046 Battlefield B,Constitutional Amendment No. 3,,,Yes,969,969,0,0
Greene,0046 Battlefield B,Constitutional Amendment No. 3,,,No.,924,924,0,0
Greene,0046 Battlefield B,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,1394,1394,0,0
Greene,0046 Battlefield B,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,345,345,0,0
Greene,0046 Battlefield B,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,1384,1384,0,0
Greene,0046 Battlefield B,"Court of Appeals Judge, Southern District - Gary W.",,,No.,346,346,0,0
Greene,0046 Battlefield B,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,1279,1279,0,0
Greene,0046 Battlefield B,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,450,450,0,0
Greene,0046 Battlefield B,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,1398,1398,0,0
Greene,0046 Battlefield B,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,336,336,0,0
Greene,0046 Battlefield B,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,1338,1338,0,0
Greene,0046 Battlefield B,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,397,397,0,0
Greene,0046 Battlefield B,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,1326,1326,0,0
Greene,0047 1st/2nd Boone,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,871,871,0,0
Greene,0047 1st/2nd Boone,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,231,231,0,0
Greene,0047 1st/2nd Boone,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,13,13,0,0
Greene,0047 1st/2nd Boone,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,0,0,0,0
Greene,0047 1st/2nd Boone,President,,CST,DON BLANKENSHIP WILLIAM MOHR,5,5,0,0
Greene,0047 1st/2nd Boone,Governor,,REP,MIKE PARSON,861,861,0,0
Greene,0047 1st/2nd Boone,Governor,,DEM,NICOLE GALLOWAY,235,235,0,0
Greene,0047 1st/2nd Boone,Governor,,LIB,RIK COMBS,18,18,0,0
Greene,0047 1st/2nd Boone,Governor,,GRN,JEROME HOWARD BAUER,7,7,0,0
Greene,0047 1st/2nd Boone,Lieutenant Governor,,REP,MIKE KEHOE,876,876,0,0
Greene,0047 1st/2nd Boone,Lieutenant Governor,,DEM,ALISSIA CANADY,202,202,0,0
Greene,0047 1st/2nd Boone,Lieutenant Governor,,LIB,BILL SLANTZ,24,24,0,0
Greene,0047 1st/2nd Boone,Lieutenant Governor,,GRN,KELLEY DRAGOO,10,10,0,0
Greene,0047 1st/2nd Boone,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,887,887,0,0
Greene,0047 1st/2nd Boone,Secretary of State,,DEM,YINKA FALETI,196,196,0,0
Greene,0047 1st/2nd Boone,Secretary of State,,LIB,CARL HERMAN FREESE,24,24,0,0
Greene,0047 1st/2nd Boone,Secretary of State,,GRN,PAUL LEHMANN,3,3,0,0
Greene,0047 1st/2nd Boone,Secretary of State,,CST,PAUL VENABLE,6,6,0,0
Greene,0047 1st/2nd Boone,State Treasurer,,REP,SCOTT FITZPATRICK,885,885,0,0
Greene,0047 1st/2nd Boone,State Treasurer,,DEM,VICKI LORENZ ENGLUND,190,190,0,0
Greene,0047 1st/2nd Boone,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,31,31,0,0
Greene,0047 1st/2nd Boone,State Treasurer,,GRN,JOSEPH CIVETTINI,5,5,0,0
Greene,0047 1st/2nd Boone,Attorney General,,REP,ERIC SCHMITT,893,893,0,0
Greene,0047 1st/2nd Boone,Attorney General,,DEM,RICH FINNERAN,186,186,0,0
Greene,0047 1st/2nd Boone,Attorney General,,LIB,KEVIN C BABCOCK,28,28,0,0
Greene,0047 1st/2nd Boone,U.S. House,7,REP,BILLY LONG,832,832,0,0
Greene,0047 1st/2nd Boone,U.S. House,7,DEM,TERESA MONTSENY,224,224,0,0
Greene,0047 1st/2nd Boone,U.S. House,7,LIB,KEVIN CRAIG,51,51,0,0
Greene,0047 1st/2nd Boone,State House,130,REP,BISHOP DAVIDSON,903,903,0,0
Greene,0047 1st/2nd Boone,State House,130,DEM,DAVE GRAGG,205,205,0,0
Greene,0047 1st/2nd Boone,COMMISSIONER - DISTRICT 1 DST 1,,REP,RUSTY MACLACHLAN,895,895,0,0
Greene,0047 1st/2nd Boone,COMMISSIONER - DISTRICT 1 DST 1,,DEM,WES ZONGKER,204,204,0,0
Greene,0047 1st/2nd Boone,SHERIFF GREENE,,REP,JIM C ARNOTT,1021,1021,0,0
Greene,0047 1st/2nd Boone,ASSESSOR GREENE,,REP,BRENT JOHNSON,1023,1023,0,0
Greene,0047 1st/2nd Boone,TREASURER GREENE,,REP,JUSTIN HILL,1024,1024,0,0
Greene,0047 1st/2nd Boone,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,1005,1005,0,0
Greene,0047 1st/2nd Boone,Constitutional Amendment No. 1,,,Yes,541,541,0,0
Greene,0047 1st/2nd Boone,Constitutional Amendment No. 1,,,No.,545,545,0,0
Greene,0047 1st/2nd Boone,Constitutional Amendment No. 3,,,Yes,610,610,0,0
Greene,0047 1st/2nd Boone,Constitutional Amendment No. 3,,,No.,491,491,0,0
Greene,0047 1st/2nd Boone,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,811,811,0,0
Greene,0047 1st/2nd Boone,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,196,196,0,0
Greene,0047 1st/2nd Boone,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,814,814,0,0
Greene,0047 1st/2nd Boone,"Court of Appeals Judge, Southern District - Gary W.",,,No.,194,194,0,0
Greene,0047 1st/2nd Boone,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,769,769,0,0
Greene,0047 1st/2nd Boone,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,229,229,0,0
Greene,0047 1st/2nd Boone,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,799,799,0,0
Greene,0047 1st/2nd Boone,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,200,200,0,0
Greene,0047 1st/2nd Boone,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,804,804,0,0
Greene,0047 1st/2nd Boone,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,198,198,0,0
Greene,0047 1st/2nd Boone,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,801,801,0,0
Greene,0048 Brookline,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,1076,1076,0,0
Greene,0048 Brookline,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,311,311,0,0
Greene,0048 Brookline,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,32,32,0,0
Greene,0048 Brookline,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,3,3,0,0
Greene,0048 Brookline,President,,CST,DON BLANKENSHIP WILLIAM MOHR,0,0,0,0
Greene,0048 Brookline,Governor,,REP,MIKE PARSON,1073,1073,0,0
Greene,0048 Brookline,Governor,,DEM,NICOLE GALLOWAY,306,306,0,0
Greene,0048 Brookline,Governor,,LIB,RIK COMBS,40,40,0,0
Greene,0048 Brookline,Governor,,GRN,JEROME HOWARD BAUER,6,6,0,0
Greene,0048 Brookline,Lieutenant Governor,,REP,MIKE KEHOE,1095,1095,0,0
Greene,0048 Brookline,Lieutenant Governor,,DEM,ALISSIA CANADY,263,263,0,0
Greene,0048 Brookline,Lieutenant Governor,,LIB,BILL SLANTZ,36,36,0,0
Greene,0048 Brookline,Lieutenant Governor,,GRN,KELLEY DRAGOO,7,7,0,0
Greene,0048 Brookline,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,1109,1109,0,0
Greene,0048 Brookline,Secretary of State,,DEM,YINKA FALETI,256,256,0,0
Greene,0048 Brookline,Secretary of State,,LIB,CARL HERMAN FREESE,28,28,0,0
Greene,0048 Brookline,Secretary of State,,GRN,PAUL LEHMANN,9,9,0,0
Greene,0048 Brookline,Secretary of State,,CST,PAUL VENABLE,6,6,0,0
Greene,0048 Brookline,State Treasurer,,REP,SCOTT FITZPATRICK,1105,1105,0,0
Greene,0048 Brookline,State Treasurer,,DEM,VICKI LORENZ ENGLUND,257,257,0,0
Greene,0048 Brookline,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,33,33,0,0
Greene,0048 Brookline,State Treasurer,,GRN,JOSEPH CIVETTINI,2,2,0,0
Greene,0048 Brookline,Attorney General,,REP,ERIC SCHMITT,1108,1108,0,0
Greene,0048 Brookline,Attorney General,,DEM,RICH FINNERAN,248,248,0,0
Greene,0048 Brookline,Attorney General,,LIB,KEVIN C BABCOCK,38,38,0,0
Greene,0048 Brookline,U.S. House,7,REP,BILLY LONG,1036,1036,0,0
Greene,0048 Brookline,U.S. House,7,DEM,TERESA MONTSENY,293,293,0,0
Greene,0048 Brookline,U.S. House,7,LIB,KEVIN CRAIG,66,66,0,0
Greene,0048 Brookline,State House,130,REP,BISHOP DAVIDSON,1108,1108,0,0
Greene,0048 Brookline,State House,130,DEM,DAVE GRAGG,273,273,0,0
Greene,0048 Brookline,State House,133,REP,CURTIS D. TRENT,10,10,0,0
Greene,0048 Brookline,State House,133,DEM,CINDY SLIMP,2,2,0,0
Greene,0048 Brookline,COMMISSIONER - DISTRICT 1 DST 1,,REP,RUSTY MACLACHLAN,1122,1122,0,0
Greene,0048 Brookline,COMMISSIONER - DISTRICT 1 DST 1,,DEM,WES ZONGKER,267,267,0,0
Greene,0048 Brookline,SHERIFF GREENE,,REP,JIM C ARNOTT,1276,1276,0,0
Greene,0048 Brookline,ASSESSOR GREENE,,REP,BRENT JOHNSON,1278,1278,0,0
Greene,0048 Brookline,TREASURER GREENE,,REP,JUSTIN HILL,1273,1273,0,0
Greene,0048 Brookline,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,1242,1242,0,0
Greene,0048 Brookline,Constitutional Amendment No. 1,,,Yes,664,664,0,0
Greene,0048 Brookline,Constitutional Amendment No. 1,,,No.,698,698,0,0
Greene,0048 Brookline,Constitutional Amendment No. 3,,,Yes,787,787,0,0
Greene,0048 Brookline,Constitutional Amendment No. 3,,,No.,577,577,0,0
Greene,0048 Brookline,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,1009,1009,0,0
Greene,0048 Brookline,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,252,252,0,0
Greene,0048 Brookline,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,1018,1018,0,0
Greene,0048 Brookline,"Court of Appeals Judge, Southern District - Gary W.",,,No.,236,236,0,0
Greene,0048 Brookline,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,963,963,0,0
Greene,0048 Brookline,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,295,295,0,0
Greene,0048 Brookline,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,1005,1005,0,0
Greene,0048 Brookline,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,242,242,0,0
Greene,0048 Brookline,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,978,978,0,0
Greene,0048 Brookline,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,275,275,0,0
Greene,0048 Brookline,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,964,964,0,0
Greene,0049 2nd Campbell A/C,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,2104,2104,0,0
Greene,0049 2nd Campbell A/C,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,1025,1025,0,0
Greene,0049 2nd Campbell A/C,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,74,74,0,0
Greene,0049 2nd Campbell A/C,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,12,12,0,0
Greene,0049 2nd Campbell A/C,President,,CST,DON BLANKENSHIP WILLIAM MOHR,4,4,0,0
Greene,0049 2nd Campbell A/C,Governor,,REP,MIKE PARSON,2073,2073,0,0
Greene,0049 2nd Campbell A/C,Governor,,DEM,NICOLE GALLOWAY,1025,1025,0,0
Greene,0049 2nd Campbell A/C,Governor,,LIB,RIK COMBS,91,91,0,0
Greene,0049 2nd Campbell A/C,Governor,,GRN,JEROME HOWARD BAUER,21,21,0,0
Greene,0049 2nd Campbell A/C,Lieutenant Governor,,REP,MIKE KEHOE,2117,2117,0,0
Greene,0049 2nd Campbell A/C,Lieutenant Governor,,DEM,ALISSIA CANADY,939,939,0,0
Greene,0049 2nd Campbell A/C,Lieutenant Governor,,LIB,BILL SLANTZ,86,86,0,0
Greene,0049 2nd Campbell A/C,Lieutenant Governor,,GRN,KELLEY DRAGOO,32,32,0,0
Greene,0049 2nd Campbell A/C,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,2164,2164,0,0
Greene,0049 2nd Campbell A/C,Secretary of State,,DEM,YINKA FALETI,886,886,0,0
Greene,0049 2nd Campbell A/C,Secretary of State,,LIB,CARL HERMAN FREESE,79,79,0,0
Greene,0049 2nd Campbell A/C,Secretary of State,,GRN,PAUL LEHMANN,39,39,0,0
Greene,0049 2nd Campbell A/C,Secretary of State,,CST,PAUL VENABLE,8,8,0,0
Greene,0049 2nd Campbell A/C,State Treasurer,,REP,SCOTT FITZPATRICK,2145,2145,0,0
Greene,0049 2nd Campbell A/C,State Treasurer,,DEM,VICKI LORENZ ENGLUND,887,887,0,0
Greene,0049 2nd Campbell A/C,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,106,106,0,0
Greene,0049 2nd Campbell A/C,State Treasurer,,GRN,JOSEPH CIVETTINI,29,29,0,0
Greene,0049 2nd Campbell A/C,Attorney General,,REP,ERIC SCHMITT,2151,2151,0,0
Greene,0049 2nd Campbell A/C,Attorney General,,DEM,RICH FINNERAN,884,884,0,0
Greene,0049 2nd Campbell A/C,Attorney General,,LIB,KEVIN C BABCOCK,126,126,0,0
Greene,0049 2nd Campbell A/C,U.S. House,7,REP,BILLY LONG,2005,2005,0,0
Greene,0049 2nd Campbell A/C,U.S. House,7,DEM,TERESA MONTSENY,989,989,0,0
Greene,0049 2nd Campbell A/C,U.S. House,7,LIB,KEVIN CRAIG,167,167,0,0
Greene,0049 2nd Campbell A/C,State House,133,REP,CURTIS D. TRENT,2153,2153,0,0
Greene,0049 2nd Campbell A/C,State House,133,DEM,CINDY SLIMP,996,996,0,0
Greene,0049 2nd Campbell A/C,COMMISSIONER - DISTRICT 1 DST 1,,REP,RUSTY MACLACHLAN,2199,2199,0,0
Greene,0049 2nd Campbell A/C,COMMISSIONER - DISTRICT 1 DST 1,,DEM,WES ZONGKER,929,929,0,0
Greene,0049 2nd Campbell A/C,SHERIFF GREENE,,REP,JIM C ARNOTT,2744,2744,0,0
Greene,0049 2nd Campbell A/C,ASSESSOR GREENE,,REP,BRENT JOHNSON,2784,2784,0,0
Greene,0049 2nd Campbell A/C,TREASURER GREENE,,REP,JUSTIN HILL,2779,2779,0,0
Greene,0049 2nd Campbell A/C,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,2746,2746,0,0
Greene,0049 2nd Campbell A/C,Constitutional Amendment No. 1,,,Yes,1547,1547,0,0
